game_number,word_length,word,attempts,result,time_taken,difficulty
1,5,coach,2,win,21.13,medium
2,5,reedy,4,win,122.9,medium
3,5,khaki,3,win,31.94,medium
4,5,fleet,3,win,17.59,medium
5,5,ladle,6,win,74.83,medium
6,5,penny,3,win,32.03,medium
7,5,ether,5,win,78.9,medium
8,4,cool,4,win,104.29,easy
9,4,harp,4,win,38.19,hard
10,4,bone,6,win,127.95,hard
11,5,krill,7,loss,367.68,medium
12,5,ninth,6,win,182.15,medium
13,4,hush,4,win,106.28,easy
14,4,heme,5,win,56.32,easy
15,4,skis,7,loss,56.42,easy
16,5,scope,7,loss,143.18,hard
17,5,photo,7,loss,93.88,hard
18,5,motto,7,loss,26.65,easy
19,5,allay,5,win,153.19,easy
20,5,tenet,3,win,236.6,easy
21,5,tenet,4,win,134.9,easy
22,4,deet,5,win,196.67,easy
23,4,odds,4,win,161.21,easy
24,4,teen,7,loss,43.66,easy
